TERMINALE PRESENZE ZUCCHETTI - EXPORT SETTIMANALE;;;;;;;;;;;
stabilimento Cologna Veneta - dal 04/05/2026 al 10/05/2026;;;;;;;;;;;
codici maggiorazione: STR 30% diurno - NOTT 55% - FEST 65%;;;;;;;;;;;
;;;;;;;;;;;
Badge;Cognome Nome;Data;Giorno;Reparto;Turno;Timbratura IN;Timbratura OUT;Ore ord.;Ore straord.;Maggiorazione %;Note
0201;POPESCU IONUT;04/05/2026;lun;LINEA 1;T2;13:58;22:00;8,00;;;
0202;ROSSIN DAVIDE;04/05/2026;lun;LINEA 1;T1;05:57;14:00;8,00;;;
0203;PERIN LUCA;04/05/2026;lun;LINEA 1;T1;05:59;14:00;8,00;;;
0204;OSEI SAMUEL;04/05/2026;lun;LINEA 1;T2;14:00;22:00;8,00;;;
0205;VASILESCU ANDREI;04/05/2026;lun;LINEA 1;T2;13:57;22:00;8,00;;;
0206;BOGONI MARTA;04/05/2026;lun;LINEA 1;T1;05:58;14:45;8,00;0,75;STR 30%;
0207;FURLAN ALESSANDRO;04/05/2026;lun;LINEA 1;T2;14:00;22:00;8,00;;;
0208;EL AMRANI HASSAN;04/05/2026;lun;LINEA 1;T1;06:00;14:00;8,00;;;
0209;PELOSO GIORGIO;04/05/2026;lun;LINEA 1;T3;22:06;06:00;8,00;;NOTT 55%;ingresso oltre tolleranza
0210;MUNTEANU CRISTIAN;04/05/2026;lun;LINEA 1;T3;21:59;06:15;8,00;0,25;NOTT 55%;
0301;BEN SALAH ADEL;04/05/2026;lun;LINEA 2;T1;05:59;14:00;8,00;;;
0302;HOXHA FATJON;04/05/2026;lun;LINEA 2;T1;06:03;14:00;8,00;;;ingresso oltre tolleranza
0303;MANSOURI YOUSSEF;04/05/2026;lun;LINEA 2;T2;13:54;22:00;8,00;;;
0304;DAL BEN ELISA;04/05/2026;lun;LINEA 2;T1;05:58;14:40;8,00;0,67;STR 30%;
0305;CIOBANU MARIUS;04/05/2026;lun;LINEA 2;T2;13:58;22:30;8,00;0,50;STR 30%;
0306;BERTACCO PAOLO;04/05/2026;lun;LINEA 2;T1;05:57;14:00;8,00;;;
0307;REFOSCO SONIA;04/05/2026;lun;LINEA 2;T2;14:02;22:40;8,00;0,67;STR 30%;
0308;SOW IBRAHIM;04/05/2026;lun;LINEA 2;T2;14:02;22:00;8,00;;;ingresso oltre tolleranza
0309;GECCHELE NICOLO;04/05/2026;lun;LINEA 2;T1;05:59;14:00;8,00;;;
0310;LUPU VASILE;04/05/2026;lun;LINEA 2;T2;13:54;22:00;8,00;;;
0401;GUERRA ROBERTO;04/05/2026;lun;LINEA 3;T1;05:57;14:30;8,00;0,50;STR 30%;
0402;CORRADIN EMANUELE;04/05/2026;lun;LINEA 3;T1;;;;;;ASSENTE - infortunio 28/04 (pratica INAIL)
0403;ILIE PETRU;04/05/2026;lun;LINEA 3;T1;06:04;14:00;8,00;;;ingresso oltre tolleranza
0404;MIOTTO SARA;04/05/2026;lun;LINEA 3;T2;13:56;22:00;8,00;;;
0405;BOUZID KARIM;04/05/2026;lun;LINEA 3;T2;13:57;22:00;8,00;;;
0406;TADIELLO FEDERICO;04/05/2026;lun;LINEA 3;T1;05:57;14:00;8,00;;;
0407;MELNYK OLEG;04/05/2026;lun;LINEA 3;T2;13:56;22:45;8,00;0,75;STR 30%;
0408;SBALCHIERO DAMIANO;04/05/2026;lun;LINEA 3;T3;21:56;06:15;8,00;0,25;NOTT 55%;
0501;MAROBIN ANNA;04/05/2026;lun;CONFEZ.;T1;05:54;14:30;8,00;0,50;STR 30%;
0502;PERETTO CHIARA;04/05/2026;lun;CONFEZ.;T1;05:56;14:30;8,00;0,50;STR 30%;
0503;BA MAMADOU;04/05/2026;lun;CONFEZ.;T2;13:57;22:00;8,00;;;
0504;FRIGO LUCIA;04/05/2026;lun;CONFEZ.;T2;13:57;23:00;8,00;1,00;STR 30%;
0505;VISENTIN STEFANO;04/05/2026;lun;CONFEZ.;T2;13:57;;8,00;;STR 30%;OUT MANCANTE - forzatura responsabile (verifica a posteriori)
0601;FAGGIONATO NICOLA;04/05/2026;lun;MAGAZZ.;T1;05:58;14:30;8,00;0,50;STR 30%;
0602;SEGATO ALBERTO;04/05/2026;lun;MAGAZZ.;T1;06:00;14:00;8,00;;;
0603;PREDA RADU;04/05/2026;lun;MAGAZZ.;T2;14:00;22:00;8,00;;;
0604;MATTIELLO GIANLUCA;04/05/2026;lun;MAGAZZ.;T1;05:54;14:40;8,00;0,67;STR 30%;
0701;DAL MASO IVANO;04/05/2026;lun;MANUT.;T1;05:57;14:00;8,00;;;
0702;BISSOLI MIRCO;04/05/2026;lun;MANUT.;T3;21:56;06:00;8,00;;NOTT 55%;
0201;POPESCU IONUT;05/05/2026;mar;LINEA 1;T2;13:56;22:00;8,00;;;
0202;ROSSIN DAVIDE;05/05/2026;mar;LINEA 1;T1;06:04;14:00;8,00;;;ingresso oltre tolleranza
0203;PERIN LUCA;05/05/2026;mar;LINEA 1;T1;06:00;14:00;8,00;;;
0204;OSEI SAMUEL;05/05/2026;mar;LINEA 1;T2;14:00;22:00;8,00;;;
0205;VASILESCU ANDREI;05/05/2026;mar;LINEA 1;T2;13:58;22:00;8,00;;;
0206;BOGONI MARTA;05/05/2026;mar;LINEA 1;T1;05:56;14:15;8,00;0,25;STR 30%;
0207;FURLAN ALESSANDRO;05/05/2026;mar;LINEA 1;T2;13:56;22:00;8,00;;;
0208;EL AMRANI HASSAN;05/05/2026;mar;LINEA 1;T1;05:58;14:00;8,00;;;
0209;PELOSO GIORGIO;05/05/2026;mar;LINEA 1;T3;21:54;06:00;8,00;;NOTT 55%;
0210;MUNTEANU CRISTIAN;05/05/2026;mar;LINEA 1;T3;21:54;06:20;8,00;0,33;NOTT 55%;
0301;BEN SALAH ADEL;05/05/2026;mar;LINEA 2;T1;05:59;14:00;8,00;;;
0302;HOXHA FATJON;05/05/2026;mar;LINEA 2;T1;05:57;14:00;8,00;;;
0303;MANSOURI YOUSSEF;05/05/2026;mar;LINEA 2;T2;13:58;;8,00;;;OUT MANCANTE - forzatura responsabile (verifica a posteriori)
0304;DAL BEN ELISA;05/05/2026;mar;LINEA 2;T1;05:56;14:00;8,00;;;
0305;CIOBANU MARIUS;05/05/2026;mar;LINEA 2;T2;13:54;22:00;8,00;;;
0306;BERTACCO PAOLO;05/05/2026;mar;LINEA 2;T1;05:59;14:00;8,00;;;
0307;REFOSCO SONIA;05/05/2026;mar;LINEA 2;T2;13:59;22:00;8,00;;;
0308;SOW IBRAHIM;05/05/2026;mar;LINEA 2;T2;13:57;22:00;8,00;;;
0309;GECCHELE NICOLO;05/05/2026;mar;LINEA 2;T1;05:58;14:00;8,00;;;
0310;LUPU VASILE;05/05/2026;mar;LINEA 2;T2;13:59;22:00;8,00;;;
0401;GUERRA ROBERTO;05/05/2026;mar;LINEA 3;T1;05:54;14:00;8,00;;;
0402;CORRADIN EMANUELE;05/05/2026;mar;LINEA 3;T1;;;;;;ASSENTE - infortunio 28/04 (pratica INAIL)
0403;ILIE PETRU;05/05/2026;mar;LINEA 3;T1;06:00;14:00;8,00;;;
0404;MIOTTO SARA;05/05/2026;mar;LINEA 3;T2;13:58;23:00;8,00;1,00;STR 30%;
0405;BOUZID KARIM;05/05/2026;mar;LINEA 3;T2;14:06;22:00;8,00;;;ingresso oltre tolleranza
0406;TADIELLO FEDERICO;05/05/2026;mar;LINEA 3;T1;05:59;14:00;8,00;;;
0407;MELNYK OLEG;05/05/2026;mar;LINEA 3;T2;14:00;22:00;8,00;;;
0408;SBALCHIERO DAMIANO;05/05/2026;mar;LINEA 3;T3;21:54;06:30;8,00;0,50;NOTT 55%;
