NOTA SPESE - MOD. AMM-07;;;;;
dipendente/collaboratore;Zampieri Paolo;mese;aprile 2026;;
mansione;agente di vendita;;;;
;;;;;
data;descrizione;localita;km;importo;doc.
02/04/2026;visita cliente - CE.DI.;Cerea (VR);40;;
02/04/2026;pranzo;Cerea;;18,50;scontrino
07/04/2026;visita cliente;Padova;142;;
07/04/2026;autostrada A4;;;9,80;ricevuta
07/04/2026;pranzo;Padova;;22,00;scontrino
09/04/2026;visita punti vendita;Bussolengo/Verona;96;;
14/04/2026;fiera - trasferta;Parma;312;;
14/04/2026;pernottamento hotel;Parma;;89,00;fattura
14/04/2026;cena;Parma;;31,50;scontrino
15/04/2026;autostrada A22 + A1;;;38,60;ricevute
15/04/2026;pranzo;Parma;;16,00;scontrino
21/04/2026;visita cliente;Villafranca (VR);62;;
23/04/2026;visita cliente;Cerea (VR);40;;
23/04/2026;caffe' con buyer;Cerea;;4,60;NO SCONTRINO
28/04/2026;visita punti vendita;Legnago/Nogara;54;;
;;;;;
;;TOTALE KM;746;;
;;rimborso km (0,42/km);313,32;;
;;TOTALE SPESE DOCUMENTATE;;230,00;
;;TOTALE DA RIMBORSARE;;543,32;
;;;;;
(Trentin) il caffe' senza scontrino non e' rimborsabile, glielo dico ogni mese. Tolti 4,60.;;;;;
(Trentin) totale corretto 538,72. Accreditato con la fattura provvigioni di maggio.;;;;;
